site,theme,subtheme,id,title,data_as_of,data_source,link_csv,link_parquet,has_editions,description
open.dosm.gov.my,Demography,Population,population_malaysia,Population Table: Malaysia,2026,DOSM,https://storage.dosm.gov.my/population/population_malaysia.csv,https://storage.dosm.gov.my/population/population_malaysia.parquet,no,"Population at national level from 1970 to 2026, by sex, age group and ethnicity. The preview table shows data for the latest year only, but you may download the data in full."
open.dosm.gov.my,Demography,Population,population_state,Population Table: States,2026,DOSM,https://storage.dosm.gov.my/population/population_state.csv,https://storage.dosm.gov.my/population/population_state.parquet,no,"Population at state level from 1970 to 2026, by sex, age group and ethnicity. The preview table shows data for the latest year only, but you may download the data in full."
open.dosm.gov.my,Demography,Population,population_district,Population Table: Administrative Districts,2025,DOSM,https://storage.dosm.gov.my/population/population_district.csv,https://storage.dosm.gov.my/population/population_district.parquet,no,"Population at district level from 2020 to 2024, by sex, age group and ethnicity. The preview table shows data for the latest year only, but you may download the data in full."
open.dosm.gov.my,Demography,Population,population_parlimen,Population Table: Parliamentary Constituencies,2024,DOSM,https://storage.dosm.gov.my/population/population_parlimen.csv,https://storage.dosm.gov.my/population/population_parlimen.parquet,no,"Population at parliamentary constituency level from 2020 to 2022, with breakdowns by sex and nationality. The preview table shows data for the latest year only, but you may download the data in full."
open.dosm.gov.my,Demography,Population,population_dun,Population Table: State Legislative Assemblies (DUNs),2024,DOSM,https://storage.dosm.gov.my/population/population_dun.csv,https://storage.dosm.gov.my/population/population_dun.parquet,no,"Population at state legislative assembly (DUN) level from 2020 to 2022, with breakdowns by sex and nationality. The preview table shows data for the latest year only, but you may download the data in full."
open.dosm.gov.my,Demography,Births,births_annual,Annual Live Births,2024,JPN; DOSM,https://storage.dosm.gov.my/demography/birth.csv,https://storage.dosm.gov.my/demography/birth.parquet,no,Annual number of births with signs of life upon delivery.
open.dosm.gov.my,Demography,Births,births_annual_state,Annual Live Births by State,2024,JPN; DOSM,https://storage.dosm.gov.my/demography/birth_state.csv,https://storage.dosm.gov.my/demography/birth_state.parquet,no,"Annual number of births with signs of life upon delivery, by state."
open.dosm.gov.my,Demography,Births,births_annual_sex_ethnic,Annual Live Births by Sex & Ethnicity,2024,JPN; DOSM,https://storage.dosm.gov.my/demography/birth_sex_ethnic.csv,https://storage.dosm.gov.my/demography/birth_sex_ethnic.parquet,no,"Annual number of births with signs of life upon delivery, with breakdowns by sex and ethnic group."
open.dosm.gov.my,Demography,Births,births_annual_sex_ethnic_state,"Annual Live Births by State, Sex, & Ethnicity",2024,JPN; DOSM,https://storage.dosm.gov.my/demography/birth_sex_ethnic_state.csv,https://storage.dosm.gov.my/demography/birth_sex_ethnic_state.parquet,no,"Annual number of births with signs of life upon delivery, with breakdowns by sex, ethnic group and state."
open.dosm.gov.my,Demography,Births,births_district_sex,Annual Live Births by District & Sex,2024,JPN; DOSM,https://storage.dosm.gov.my/demography/birth_district_sex.csv,https://storage.dosm.gov.my/demography/birth_district_sex.parquet,no,"Annual number of births with signs of life upon delivery, by district and sex."
open.dosm.gov.my,Demography,Births,stillbirths,Annual Stillbirths,2024,MOH; DOSM,https://storage.dosm.gov.my/demography/stillbirth.csv,https://storage.dosm.gov.my/demography/stillbirth.parquet,no,Annual number of stillbirths recorded by the Ministry of Health.
open.dosm.gov.my,Demography,Births,stillbirths_state,Annual Stillbirths by State,2024,MOH; DOSM,https://storage.dosm.gov.my/demography/stillbirth_state.csv,https://storage.dosm.gov.my/demography/stillbirth_state.parquet,no,"Annual number of stillbirths recorded by the Ministry of Health, by state."
open.dosm.gov.my,Demography,Deaths,deaths,Annual Deaths,2024,JPN; DOSM,https://storage.dosm.gov.my/demography/death.csv,https://storage.dosm.gov.my/demography/death.parquet,no,Annual number of deaths registered with JPN.
open.dosm.gov.my,Demography,Deaths,deaths_state,Annual Deaths by State,2024,JPN; DOSM,https://storage.dosm.gov.my/demography/death_state.csv,https://storage.dosm.gov.my/demography/death_state.parquet,no,"Annual number of deaths registered with JPN, by state."
open.dosm.gov.my,Demography,Deaths,deaths_sex_ethnic,Annual Deaths by Sex & Ethnicity,2024,JPN; DOSM,https://storage.dosm.gov.my/demography/death_sex_ethnic.csv,https://storage.dosm.gov.my/demography/death_sex_ethnic.parquet,no,"Annual number of deaths, with breakdowns by sex and ethnic group."
open.dosm.gov.my,Demography,Deaths,deaths_sex_ethnic_state,"Annual Deaths by State, Sex, & Ethnicity",2024,JPN; DOSM,https://storage.dosm.gov.my/demography/death_sex_ethnic_state.csv,https://storage.dosm.gov.my/demography/death_sex_ethnic_state.parquet,no,"Annual number of deaths, with breakdowns by sex, ethnic group and state."
open.dosm.gov.my,Demography,Deaths,deaths_district_sex,Annual Deaths by District & Sex,2024,JPN; DOSM,https://storage.dosm.gov.my/demography/death_district_sex.csv,https://storage.dosm.gov.my/demography/death_district_sex.parquet,no,Annual number and rate of deaths by administrative district and sex.
open.dosm.gov.my,Demography,Deaths,deaths_early_childhood,Annual Early Childhood Deaths,2024,JPN; DOSM,https://storage.dosm.gov.my/demography/deaths_early_childhood.csv,https://storage.dosm.gov.my/demography/deaths_early_childhood.parquet,no,"Annual number of deaths aged less than 5 year old, broken down into perinatal, neonatal, infant and toddler deaths."
open.dosm.gov.my,Demography,Deaths,deaths_early_childhood_sex,Annual Early Childhood Deaths by Sex,2024,JPN; DOSM,https://storage.dosm.gov.my/demography/deaths_early_childhood_sex.csv,https://storage.dosm.gov.my/demography/deaths_early_childhood_sex.parquet,no,"Annual number of deaths aged less than 5 year old by sex, broken down into neonatal and infant deaths."
open.dosm.gov.my,Demography,Deaths,deaths_early_childhood_state,Annual Early Childhood Deaths by State,2024,JPN; DOSM,https://storage.dosm.gov.my/demography/deaths_early_childhood_state.csv,https://storage.dosm.gov.my/demography/deaths_early_childhood_state.parquet,no,"Annual number of deaths aged less than 5 year old by state, broken down into perinatal, neonatal, infant and toddler deaths."
open.dosm.gov.my,Demography,Deaths,deaths_early_childhood_state_sex,Annual Early Childhood Deaths by State & Sex,2024,JPN; DOSM,https://storage.dosm.gov.my/demography/deaths_early_childhood_state_sex.csv,https://storage.dosm.gov.my/demography/deaths_early_childhood_state_sex.parquet,no,"Annual number of deaths aged less than 5 year old by state and sex, broken down into neonatal and infant deaths."
open.dosm.gov.my,Demography,Deaths,deaths_maternal,Annual Maternal Deaths,2024,JPN; DOSM,https://storage.dosm.gov.my/demography/death_maternal.csv,https://storage.dosm.gov.my/demography/death_maternal.parquet,no,Annual number of deaths of women during pregnancy or childbirth.
open.dosm.gov.my,Demography,Deaths,deaths_maternal_state,Annual Maternal Deaths by State,2024,JPN; DOSM,https://storage.dosm.gov.my/demography/death_maternal_state.csv,https://storage.dosm.gov.my/demography/death_maternal_state.parquet,no,"Annual number of deaths of women during pregnancy or childbirth, by state."
open.dosm.gov.my,Demography,Marriage,marriages,Annual Marriages,2022-12-31 23:59,DOSM,https://storage.dosm.gov.my/demography/marriages.csv,https://storage.dosm.gov.my/demography/marriages.parquet,no,"Number of marriages registered annually in Malaysia, including marriage rates per 1,000 unmarried population."
open.dosm.gov.my,Demography,Marriage,marriages_age,Annual Marriage by Age Group,2022-12-31 23:59,DOSM,https://storage.dosm.gov.my/demography/marriages_age.csv,https://storage.dosm.gov.my/demography/marriages_age.parquet,no,"Number of marriages registered annually in Malaysia by age group, including marriage rates per 1,000 unmarried population."
open.dosm.gov.my,Demography,Marriage,marriages_state,Annual Marriages by State,2022-12-31 23:59,DOSM,https://storage.dosm.gov.my/demography/marriages_state.csv,https://storage.dosm.gov.my/demography/marriages_state.parquet,no,"Number of marriages registered annually by state of residence, including marriage rates per 1,000 unmarried population."
open.dosm.gov.my,Demography,Marriage,marriages_state_age,Annual Marriage by State & Age Group,2022-12-31 23:59,DOSM,https://storage.dosm.gov.my/demography/marriages_state_age.csv,https://storage.dosm.gov.my/demography/marriages_state_age.parquet,no,"Number of marriages registered annually by state and age group, including marriage rates per 1,000 unmarried population."
open.dosm.gov.my,Demography,Fertility,fertility,TFR and ASFR,2024,DOSM,https://storage.dosm.gov.my/demography/fertility.csv,https://storage.dosm.gov.my/demography/fertility.parquet,no,Total fertility rate (TFR) and age-specific fertility rates (ASFR) from 1958 to the present at national level.
