page,release_date,title,release_document_id
1,14 August 2026,Gross Domestic Product Second Quarter 2026,20706
1,14 August 2026,INTERNATIONAL INVESTMENT POSITION Q226,20701
1,14 August 2026,"Quarterly Balance of Payments, Second Quarter 2026",20717
1,13 August 2026,Construction Statistics Second Quarter 2026,20687
1,13 August 2026,"Employment Statistics, Q2 2026",20688
1,13 August 2026,MONTHLY RUBBER STATISTICS,20650
1,12 August 2026,PUBLICATION QSS Q2 2026,20618
1,12 August 2026,"PUBLICATION - VOLUME INDEX OF WHOLESALE & RETAIL TRADE, SECOND QUARTER 2026",20623
1,12 August 2026,QUARTERLY VOLUME INDEX OF SERVICES Q2 2026,20609
1,12 August 2026,"Publication Performance of Wholesale & Retail Trade, June 2026",20596
2,11 August 2026,"Labour Force Survey Report, Second Quarter 2026",20538
2,11 August 2026,"LABOUR FORCE STATISTICS, JUNE 2026",20586
2,11 August 2026,"Index of Industrial Production, Malaysia",20570
2,11 August 2026,"MONTHLY MANUFACTURING STATISTICS, JUNE 2026",20549
2,10 August 2026,Special Release 3 - For Mechanical and Electrical Works Malaysia,20521
2,10 August 2026,Special Release 2 - For Building and Structural Works,20514
2,10 August 2026,Special Release 1 - For Civil Engineering Works Peninsular Malaysia,20529
2,10 August 2026,Special Release 1 - For Civil Engineering Works Sabah and Sarawak,20533
2,10 August 2026,Special Release 2 - For Building and Structural Works Sabah and Sarawak,20525
2,6 August 2026,PUBLICATION SPPI Q2 2026,20500
3,5 August 2026,LSE Pahang,20471
3,5 August 2026,LSE Negeri Sembilan,20470
3,5 August 2026,LSE Perak,20473
3,5 August 2026,LSE WP Labuan,20480
3,5 August 2026,LSE Pulau Pinang,20472
3,5 August 2026,LSE Kedah 2025,20387
3,5 August 2026,LSE WPKL,20479
3,5 August 2026,LSE Johor 2025,20386
3,5 August 2026,LSE Melaka,20469
3,5 August 2026,LSE Sabah,20477
4,5 August 2026,LSE WP Labuan,20480
4,5 August 2026,LSE WPKL,20479
4,5 August 2026,LSE Sarawak,20478
4,5 August 2026,LSE Sabah,20477
4,5 August 2026,LSE Perlis,20474
4,5 August 2026,LSE Terengganu,20476
4,31 July 2026,"Current Population Estimates, Malaysia, 2026",20425
4,30 July 2026,"External Trade Statistics, Sarawak",20424
4,30 July 2026,"External Trade Statistics, Sabah",20428
4,30 July 2026,"Final External Trade Statistics, 2025 - Publication",20352
5,30 July 2026,"External Trade Statistics, Sabah",20428
5,29 July 2026,"Employee Wages Statistics (Formal Sector), First Quarter 2026",20383
5,29 July 2026,Gross Domestic Product Income Approach 2025,20363
5,28 July 2026,"Malaysia External Trade Indices, June 2026",20315
5,28 July 2026,GFCF 2025,20329
5,28 July 2026,"Producer Price Index - Local Production, June 2026",20347
5,27 July 2026,"Monthly Statistical Bulletin Malaysia, May 2026",20301
5,24 July 2026,"MALAYSIAN ECONOMIC INDICATORS LEADING, COINCIDENT & LAGGING INDEXES MAY 2026",20287
5,20 July 2026,"Malaysia External Trade Statistics, June 2026",20270
5,20 July 2026,"Malaysia External Trade Statistics, June 2026",20344
6,17 July 2026,Publication Advance Gross Domestic Product (GDP) Estimates Second Quarter 2026,20263
6,17 July 2026,"Consumer Price Index Malaysia, June 2026",20261
6,14 July 2026,PUBLICATION PPI ANNUAL 2025,20228
6,13 July 2026,MONTHLY RUBBER STATISTICS,20214
6,10 July 2026,"LABOUR FORCE STATISTICS, MAY 2026",20199
6,10 July 2026,"Publication Performance of Wholesale & Retail Trade, May 2026",20181
6,9 July 2026,Special Release 2 - For Building and Structural Works Sabah and Sarawak,20135
