page,release_date,title,release_document_id,dt,group
10,24 June 2026,BULLETIN OF DOMESTIC TOURISM SURVEY 2026,19838.0,2026-06-24,
10,16 June 2026,DOMESTIC TOURISM SURVEY 2025,19783.0,2026-06-16,
21,17 March 2026,Bulletin Domestic Tourism Survey Q4 2025,17778.0,2026-03-17,
34,18 December 2025,Performance of Domestic Tourism in Third Quarter 2025,17756.0,2025-12-18,
37,16 December 2025,Regional Tourism Satellite Account Sabah 2024,17173.0,2025-12-16,
51,18 September 2025,Domestic Tourism Survey 2024 Perak,15996.0,2025-09-18,
51,18 September 2025,Domestic Tourism Survey 2024 W. P. Kuala Lumpur,16002.0,2025-09-18,
51,18 September 2025,Domestic Tourism Survey 2024 Pulau Pinang,15995.0,2025-09-18,
51,18 September 2025,Domestic Tourism Survey 2024 Pahang,15993.0,2025-09-18,
51,18 September 2025,Domestic Tourism Survey 2024 Negeri Sembilan,15989.0,2025-09-18,
51,18 September 2025,Domestic Tourism Survey 2024 Kelantan,15987.0,2025-09-18,
51,18 September 2025,Domestic Tourism Survey 2024 Kedah,15986.0,2025-09-18,
51,18 September 2025,Domestic Tourism Survey 2024 Johor,15985.0,2025-09-18,
52,18 September 2025,Domestic Tourism Survey 2024 Selangor,15998.0,2025-09-18,
52,18 September 2025,Domestic Tourism Survey 2024 Perlis,15997.0,2025-09-18,
52,18 September 2025,Performance of Domestic Tourism in Second Quarter 2025,16024.0,2025-09-18,
52,18 September 2025,Domestic Tourism Survey 2024 W. P. Putrajaya,16005.0,2025-09-18,
52,18 September 2025,Domestic Tourism Survey 2024 W. P. Labuan,16003.0,2025-09-18,
52,18 September 2025,Domestic Tourism Survey 2024 Sabah,16000.0,2025-09-18,
52,18 September 2025,Domestic Tourism Survey 2024 Sarawak,16001.0,2025-09-18,
52,18 September 2025,Domestic Tourism Survey 2024 Terengganu,15999.0,2025-09-18,
53,12 September 2025,Tourism Satellite Account 2024,15861.0,2025-09-12,
86,18 December 2024,Regional Tourism Satellite Account Sabah 2023,12718.0,2024-12-18,
98,20 September 2024,Domestic Tourism Survey 2023 W.P. Putrajaya,11217.0,2024-09-20,
98,20 September 2024,Domestic Tourism Survey 2023 Melaka,11246.0,2024-09-20,
98,20 September 2024,Domestic Tourism Survey 2023 Perlis,11248.0,2024-09-20,
98,20 September 2024,Domestic Tourism Survey 2023 Pahang,11249.0,2024-09-20,
99,20 September 2024,Domestic Tourism Survey 2023 W.P. Kuala Lumpur,11215.0,2024-09-20,
99,20 September 2024,Domestic Tourism Survey 2023 W.P. Labuan,11216.0,2024-09-20,
99,20 September 2024,Domestic Tourism Survey 2023 Negeri Sembilan,11268.0,2024-09-20,
99,20 September 2024,Domestic Tourism Survey 2023 Perak,11253.0,2024-09-20,
99,20 September 2024,Domestic Tourism Survey 2023 Kelantan,11258.0,2024-09-20,
99,20 September 2024,Domestic Tourism Survey 2023 Pulau Pinang,11269.0,2024-09-20,
100,12 September 2024,Tourism Satellite Account 2023,11181.0,2024-09-12,
113,12 June 2024,BULLETIN OF MALAYSIA'S DOMESTIC TOURISM SURVEY FOR FIRST QUARTER 2024,9622.0,2024-06-12,
121,26 March 2024,BULLETIN OF DOMESTIC TOURISM SURVEY FOR FOURTH QUARTER 2023,8776.0,2024-03-26,
129,21 December 2023,Regional Tourism Satellite Account (RTSA) Sabah 2022,7758.0,2023-12-21,
129,19 December 2023,"BULLETIN MALAYSIA""S DOMESTIC TOURISM SURVEY THIRD QUARTER 2023",7752.0,2023-12-19,
143,20 September 2023,Tourism Satellite Account 2022,6121.0,2023-09-20,
143,15 September 2023,"Domestic Tourism Survey Selangor, 2022",6054.0,2023-09-15,
143,15 September 2023,"Domestic Tourism Survey Perlis, 2022",6052.0,2023-09-15,
143,15 September 2023,"Domestic Tourism Survey Perak, 2022",6051.0,2023-09-15,
143,15 September 2023,"Domestic Tourism Survey Pulau Pinang, 2022",6050.0,2023-09-15,
143,15 September 2023,"Domestic Tourism Survey Pahang, 2022",6049.0,2023-09-15,
143,15 September 2023,"Domestic Tourism Survey Kedah, 2022",6045.0,2023-09-15,
143,15 September 2023,"Domestic Tourism Survey Melaka, 2022",6047.0,2023-09-15,
144,15 September 2023,"Domestic Tourism Survey W.P Labuan, 2022",6060.0,2023-09-15,
144,15 September 2023,"Domestic Tourism Survey Terengganu, 2022",6055.0,2023-09-15,
144,15 September 2023,"Domestic Tourism Survey Sarawak, 2022",6057.0,2023-09-15,
144,15 September 2023,"Domestic Tourism Survey Sabah, 2022",6056.0,2023-09-15,
144,15 September 2023,"Domestic Tourism Survey W. P Kuala Lumpur, 2022",6058.0,2023-09-15,
157,26 June 2023,PUBLICATION ON DOMESTIC TOURISM MALAYSIA 2022,4886.0,2023-06-26,
105,13 August 2024,Publication Economic Cencus 2023 Accommodation Services,10623.0,2024-08-13,
168,1 March 2023,ANNUAL ECONOMIC STATISTICS 2022 ACCOMMODATION SERVICES,640.0,2023-03-01,
32,23 December 2025,Agriculture Census 2024 Report: Captured Fisheries,17965.0,2025-12-23,
68,29 May 2025,"Unveiling Malaysia's Agricultural Value Chain from Upstream to Downstream, Fisheries",14477.0,2025-05-29,
70,29 May 2025,Agriculture Census 2024 Interim Report: Captured Fisheries,14514.0,2025-05-29,
28,31 December 2025,"Publication Environment Statistics, Kelantan 2025",18155.0,2025-12-31,
28,31 December 2025,"Publication Environment Statistics, Terengganu 2025",18233.0,2025-12-31,
28,31 December 2025,"Publication Environment Statistics, Perak 2025",18230.0,2025-12-31,
28,31 December 2025,"Publication Environment Statistics, Perlis 2025",18231.0,2025-12-31,
28,31 December 2025,"Publication Environment Statistics, Selangor 2025",18232.0,2025-12-31,
28,31 December 2025,"Publication Environment Statistics, Sarawak 2025",18261.0,2025-12-31,
28,31 December 2025,"Publication Environment Statistics, Wilayah Persekutuan 2025",18262.0,2025-12-31,
29,31 December 2025,"Publication Environment Statistics, Pahang 2025",18228.0,2025-12-31,
29,31 December 2025,"Publication Environment Statistics, Kedah 2025",18154.0,2025-12-31,
29,31 December 2025,"Publication Environment Statistics, Pulau Pinang 2025",18229.0,2025-12-31,
29,31 December 2025,"Publication Environment Statistics, Negeri Sembilan 2025",18227.0,2025-12-31,
29,31 December 2025,"Publication Environment Statistics, Melaka 2025",18156.0,2025-12-31,
29,30 December 2025,"Compendium of Environment Statistics, Malaysia",18503.0,2025-12-30,
37,15 December 2025,ECONOMIC CENSUS 2023 - ENVIRONMENTAL PROTECTION EXPENDITURE,17140.0,2025-12-15,
107,5 August 2024,"PUBLICATION BE2023_WATER SUPPLY -SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",10406.0,2024-08-05,
130,15 December 2023,"Environment Statistics, Kedah, 2023",7692.0,2023-12-15,
130,15 December 2023,"Environment Statistics, Kelantan, 2023",7693.0,2023-12-15,
130,15 December 2023,"Environment Statistics, Melaka, 2023",7694.0,2023-12-15,
130,15 December 2023,"Environment Statistics, Negeri Sembilan, 2023",7695.0,2023-12-15,
130,15 December 2023,"Environment Statistics, Pahang, 2023",7696.0,2023-12-15,
130,15 December 2023,"Environment Statistics, Perak, 2023",7697.0,2023-12-15,
