state,rank,district,homestay_clusters,accommodation_premises,population_thousands,piped_water,sanitation,electricity,state_supply_change_2021_2024_pct,demand_year,demand_measure,supply_year,supply_vintage_gap_years,caveat
Johor,1,Johor Bahru,2.0,299.0,1799.1,100.0,100.0,100.0,0.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Johor,2,Batu Pahat,1.0,35.0,510.1,100.0,100.0,100.0,0.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Johor,3,Muar,4.0,23.0,323.2,100.0,100.0,100.0,0.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Johor,4,Kota Tinggi,6.0,37.0,233.5,99.83,100.0,100.0,0.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Johor,5,Segamat,1.0,22.0,205.1,99.54,100.0,100.0,0.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Pulau Pinang,1,Timur Laut,0.0,199.0,569.9,100.0,100.0,100.0,25.3,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Pulau Pinang,2,Barat Daya,3.0,24.0,248.2,100.0,100.0,100.0,25.3,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Pulau Pinang,3,Seberang Perai Tengah,2.0,55.0,443.2,100.0,100.0,100.0,25.3,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Pulau Pinang,4,Seberang Perai Utara,2.0,21.0,351.0,100.0,100.0,100.0,25.3,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Pulau Pinang,5,Seberang Perai Selatan,4.0,1.0,188.1,100.0,100.0,100.0,25.3,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Kedah,1,Kota Setar,1.0,43.0,381.7,100.0,100.0,100.0,-3.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Kedah,2,Langkawi,5.0,220.0,99.8,100.0,100.0,100.0,-3.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Kedah,3,Kuala Muda,1.0,33.0,571.3,99.9,100.0,100.0,-3.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Kedah,4,Baling,2.0,6.0,148.1,96.01,100.0,100.0,-3.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Kedah,5,Kulim,1.0,12.0,352.2,100.0,100.0,100.0,-3.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Perak,1,Kinta,1.0,169.0,923.0,100.0,100.0,100.0,-9.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Perak,2,Larut & Matang,2.0,49.0,278.3,95.25,100.0,100.0,-9.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Perak,3,Manjung,1.0,131.0,255.2,100.0,100.0,100.0,-9.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Perak,4,Kuala Kangsar,1.0,17.0,179.9,100.0,100.0,100.0,-9.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Perak,5,Batang Padang,1.0,22.0,126.8,100.0,100.0,100.0,-9.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Kelantan,1,Kota Bharu,1.0,105.0,583.7,68.76,100.0,100.0,6.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Kelantan,2,Bachok,1.0,14.0,165.5,44.53,100.0,100.0,6.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Kelantan,3,Pasir Mas,0.0,5.0,240.4,71.58,100.0,100.0,6.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Kelantan,4,Pasir Puteh,0.0,5.0,142.9,77.55,100.0,100.0,6.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Kelantan,5,Tanah Merah,0.0,7.0,158.4,80.23,100.0,100.0,6.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Selangor,1,Petaling,0.0,194.0,2359.7,100.0,100.0,100.0,5.5,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Selangor,2,Sepang,1.0,46.0,347.0,100.0,100.0,100.0,5.5,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Selangor,3,Gombak,1.0,50.0,979.9,100.0,100.0,100.0,5.5,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Selangor,4,Kuala Selangor,2.0,11.0,298.4,100.0,100.0,100.0,5.5,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Selangor,5,Hulu Langat,0.0,42.0,1508.0,100.0,100.0,100.0,5.5,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Melaka,1,Melaka Tengah,3.0,286.0,629.9,100.0,100.0,100.0,3.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Melaka,2,Alor Gajah,4.0,52.0,260.5,100.0,100.0,100.0,3.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Melaka,3,Jasin,2.0,5.0,156.4,100.0,100.0,100.0,3.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Terengganu,1,Kuala Terengganu,2.0,58.0,245.1,100.0,100.0,100.0,8.9,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Terengganu,2,Kuala Nerus,0.0,21.0,155.8,100.0,100.0,100.0,8.9,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Terengganu,3,Kemaman,1.0,32.0,231.7,100.0,100.0,100.0,8.9,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Terengganu,4,Besut,4.0,58.0,165.4,100.0,100.0,100.0,8.9,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Terengganu,5,Dungun,2.0,29.0,167.9,98.99,100.0,100.0,8.9,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Negeri Sembilan,1,Seremban,3.0,81.0,712.3,100.0,100.0,100.0,-6.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Negeri Sembilan,2,Port Dickson,2.0,59.0,135.2,100.0,100.0,100.0,-6.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Negeri Sembilan,3,Tampin,1.0,11.0,90.5,100.0,100.0,100.0,-6.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Negeri Sembilan,4,Kuala Pilah,2.0,6.0,72.3,100.0,100.0,100.0,-6.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Negeri Sembilan,5,Jempol,2.0,11.0,131.2,100.0,100.0,100.0,-6.2,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Sabah,1,Kota Kinabalu,2.0,184.0,546.6,96.19,99.01,100.0,-7.7,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Sabah,2,Ranau,2.0,48.0,88.6,46.48,100.0,95.86,-7.7,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Sabah,3,Tawau,0.0,50.0,413.6,99.17,98.73,100.0,-7.7,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Sabah,4,Sandakan,0.0,67.0,499.4,96.74,100.0,100.0,-7.7,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Sabah,5,Keningau,0.0,22.0,158.0,86.26,99.66,99.32,-7.7,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Pahang,1,Kuantan,2.0,164.0,571.1,100.0,100.0,100.0,3.5,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Pahang,2,Bentong,2.0,66.0,121.2,91.83,100.0,100.0,3.5,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Pahang,3,Cameron Highlands,1.0,69.0,44.5,90.82,100.0,100.0,3.5,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Pahang,4,Rompin,1.0,61.0,102.9,100.0,100.0,100.0,3.5,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Pahang,5,Temerloh,3.0,36.0,177.8,99.64,100.0,100.0,3.5,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Sarawak,1,Kuching,10.0,157.0,625.0,99.4,100.0,,-7.9,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Sarawak,2,Sibu,3.0,67.0,255.4,99.21,100.0,100.0,-7.9,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Sarawak,3,Bintulu,0.0,113.0,189.0,95.1,100.0,99.5,-7.9,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Sarawak,4,Miri,10.0,114.0,256.1,99.4,100.0,99.9,-7.9,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
Sarawak,5,Sri Aman,1.0,10.0,61.3,97.17,100.0,100.0,-7.9,2025,"rank within state (ORDINAL - not a count, not comparable across states)",2021,4,demand rank 2025 vs supply 2021; no district accommodation count published for 2023-2025. See data/GAPS.md section 2.
