state,year,indicator,value
Johor,2018,total_receipts_rm_million,6726.0
Johor,2019,total_receipts_rm_million,7410.0
Johor,2020,total_receipts_rm_million,2432.0
Johor,2021,total_receipts_rm_million,1252.0
Johor,2022,total_receipts_rm_million,4888.0
Johor,2023,total_receipts_rm_million,6699.0
Johor,2024,total_receipts_rm_million,7814.0
Johor,2018,domestic_visitors_thousand,13487.0
Johor,2019,domestic_visitors_thousand,14274.0
Johor,2020,domestic_visitors_thousand,7243.0
Johor,2021,domestic_visitors_thousand,3658.0
Johor,2022,domestic_visitors_thousand,12376.0
Johor,2023,domestic_visitors_thousand,15805.0
Johor,2024,domestic_visitors_thousand,17138.0
Johor,2018,domestic_trips_thousand,17646.0
Johor,2019,domestic_trips_thousand,19136.0
Johor,2020,domestic_trips_thousand,7915.0
Johor,2021,domestic_trips_thousand,3797.0
Johor,2022,domestic_trips_thousand,12965.0
Johor,2023,domestic_trips_thousand,16494.0
Johor,2024,domestic_trips_thousand,19204.0
Johor,2018,avg_receipts_per_capita_rm,499.0
Johor,2019,avg_receipts_per_capita_rm,519.0
Johor,2020,avg_receipts_per_capita_rm,336.0
Johor,2021,avg_receipts_per_capita_rm,342.0
Johor,2022,avg_receipts_per_capita_rm,395.0
Johor,2023,avg_receipts_per_capita_rm,424.0
Johor,2024,avg_receipts_per_capita_rm,456.0
Johor,2018,avg_receipts_per_trip_rm,381.0
Johor,2019,avg_receipts_per_trip_rm,387.0
Johor,2020,avg_receipts_per_trip_rm,307.0
Johor,2021,avg_receipts_per_trip_rm,330.0
Johor,2022,avg_receipts_per_trip_rm,377.0
Johor,2023,avg_receipts_per_trip_rm,406.0
Johor,2024,avg_receipts_per_trip_rm,407.0
Johor,2018,avg_length_of_stay_nights,2.54
Johor,2019,avg_length_of_stay_nights,2.54
Johor,2020,avg_length_of_stay_nights,1.85
Johor,2021,avg_length_of_stay_nights,2.06
Johor,2022,avg_length_of_stay_nights,2.34
Johor,2023,avg_length_of_stay_nights,2.18
Johor,2024,avg_length_of_stay_nights,2.55
Kedah,2018,total_receipts_rm_million,4724.0
Kedah,2019,total_receipts_rm_million,5208.0
Kedah,2020,total_receipts_rm_million,2273.0
Kedah,2021,total_receipts_rm_million,842.0
Kedah,2022,total_receipts_rm_million,3470.0
Kedah,2023,total_receipts_rm_million,4207.0
Kedah,2024,total_receipts_rm_million,4961.0
Kedah,2018,domestic_visitors_thousand,14480.0
Kedah,2019,domestic_visitors_thousand,14831.0
Kedah,2020,domestic_visitors_thousand,10108.0
Kedah,2021,domestic_visitors_thousand,4023.0
Kedah,2022,domestic_visitors_thousand,11186.0
Kedah,2023,domestic_visitors_thousand,13444.0
Kedah,2024,domestic_visitors_thousand,14651.0
Kedah,2018,domestic_trips_thousand,19648.0
Kedah,2019,domestic_trips_thousand,19500.0
Kedah,2020,domestic_trips_thousand,10362.0
Kedah,2021,domestic_trips_thousand,4241.0
Kedah,2022,domestic_trips_thousand,11894.0
Kedah,2023,domestic_trips_thousand,13687.0
Kedah,2024,domestic_trips_thousand,15984.0
Kedah,2018,avg_receipts_per_capita_rm,326.0
Kedah,2019,avg_receipts_per_capita_rm,351.0
Kedah,2020,avg_receipts_per_capita_rm,225.0
Kedah,2021,avg_receipts_per_capita_rm,209.0
Kedah,2022,avg_receipts_per_capita_rm,310.0
Kedah,2023,avg_receipts_per_capita_rm,313.0
Kedah,2024,avg_receipts_per_capita_rm,339.0
Kedah,2018,avg_receipts_per_trip_rm,240.0
Kedah,2019,avg_receipts_per_trip_rm,267.0
Kedah,2020,avg_receipts_per_trip_rm,219.0
Kedah,2021,avg_receipts_per_trip_rm,199.0
Kedah,2022,avg_receipts_per_trip_rm,292.0
Kedah,2023,avg_receipts_per_trip_rm,307.0
Kedah,2024,avg_receipts_per_trip_rm,310.0
Kedah,2018,avg_length_of_stay_nights,2.29
Kedah,2019,avg_length_of_stay_nights,2.31
Kedah,2020,avg_length_of_stay_nights,1.97
Kedah,2021,avg_length_of_stay_nights,1.96
Kedah,2022,avg_length_of_stay_nights,2.11
Kedah,2023,avg_length_of_stay_nights,2.03
Kedah,2024,avg_length_of_stay_nights,2.77
Kelantan,2018,total_receipts_rm_million,4001.0
Kelantan,2019,total_receipts_rm_million,4800.0
Kelantan,2020,total_receipts_rm_million,1555.0
Kelantan,2021,total_receipts_rm_million,477.0
Kelantan,2022,total_receipts_rm_million,2586.0
Kelantan,2023,total_receipts_rm_million,3228.0
Kelantan,2024,total_receipts_rm_million,4541.0
Kelantan,2018,domestic_visitors_thousand,9846.0
Kelantan,2019,domestic_visitors_thousand,10986.0
Kelantan,2020,domestic_visitors_thousand,6058.0
Kelantan,2021,domestic_visitors_thousand,1921.0
Kelantan,2022,domestic_visitors_thousand,6627.0
Kelantan,2023,domestic_visitors_thousand,7549.0
Kelantan,2024,domestic_visitors_thousand,10514.0
Kelantan,2018,domestic_trips_thousand,14238.0
Kelantan,2019,domestic_trips_thousand,15911.0
Kelantan,2020,domestic_trips_thousand,6568.0
Kelantan,2021,domestic_trips_thousand,1972.0
