state_of_origin,state_visited,tourists_thousand_2025
Malaysia,Malaysia,106525.3
Malaysia,Johor,9821.9
Malaysia,Kedah,7124.8
Malaysia,Kelantan,6512.1
Malaysia,Melaka,7178.7
Malaysia,Negeri Sembilan,6547.0
Malaysia,Pahang,11046.0
Malaysia,Pulau Pinang,5629.5
Malaysia,Perak,10413.8
Malaysia,Perlis,1474.9
Malaysia,Selangor,10595.6
Malaysia,Terengganu,5239.6
Malaysia,Sabah,7359.9
Malaysia,Sarawak,6329.9
Malaysia,W.P. Kuala Lumpur,10078.6
Malaysia,W.P. Labuan,266.8
Malaysia,W.P. Putrajaya,906.1
Johor,Malaysia,11017.1
Johor,Johor,3422.2
Johor,Kedah,740.5
Johor,Kelantan,576.5
Johor,Melaka,1344.6
Johor,Negeri Sembilan,1671.5
Johor,Pahang,981.2
Johor,Pulau Pinang,106.4
Johor,Perak,173.2
Johor,Perlis,50.2
Johor,Selangor,629.4
Johor,Terengganu,286.2
Johor,Sabah,112.8
Johor,Sarawak,348.0
Johor,W.P. Kuala Lumpur,494.1
Johor,W.P. Labuan,3.5
Johor,W.P. Putrajaya,76.9
Kedah,Malaysia,5289.1
Kedah,Johor,114.9
Kedah,Kedah,1234.0
Kedah,Kelantan,286.0
Kedah,Melaka,259.9
Kedah,Negeri Sembilan,112.4
Kedah,Pahang,282.1
Kedah,Pulau Pinang,431.2
Kedah,Perak,698.2
Kedah,Perlis,160.2
Kedah,Selangor,329.1
Kedah,Terengganu,341.1
Kedah,Sabah,128.3
Kedah,Sarawak,85.1
Kedah,W.P. Kuala Lumpur,734.3
Kedah,W.P. Labuan,7.4
Kedah,W.P. Putrajaya,85.0
Kelantan,Malaysia,3869.6
Kelantan,Johor,103.1
Kelantan,Kedah,101.5
Kelantan,Kelantan,912.3
Kelantan,Melaka,181.9
Kelantan,Negeri Sembilan,67.0
Kelantan,Pahang,212.8
Kelantan,Pulau Pinang,93.3
Kelantan,Perak,132.2
Kelantan,Perlis,12.1
Kelantan,Selangor,690.7
Kelantan,Terengganu,752.1
Kelantan,Sabah,80.1
Kelantan,Sarawak,126.6
Kelantan,W.P. Kuala Lumpur,297.2
Kelantan,W.P. Labuan,2.6
Kelantan,W.P. Putrajaya,104.0
Melaka,Malaysia,3457.4
Melaka,Johor,685.3
Melaka,Kedah,120.4
Melaka,Kelantan,59.7
Melaka,Melaka,149.2
Melaka,Negeri Sembilan,280.3
Melaka,Pahang,469.6
Melaka,Pulau Pinang,99.3
Melaka,Perak,288.8
Melaka,Perlis,57.4
Melaka,Selangor,348.9
Melaka,Terengganu,286.5
Melaka,Sabah,7.0
Melaka,Sarawak,55.1
Melaka,W.P. Kuala Lumpur,463.2
Melaka,W.P. Labuan,26.8
Melaka,W.P. Putrajaya,59.9
Negeri Sembilan,Malaysia,3784.0
Negeri Sembilan,Johor,467.6
Negeri Sembilan,Kedah,112.0
Negeri Sembilan,Kelantan,203.9
Negeri Sembilan,Melaka,377.3
Negeri Sembilan,Negeri Sembilan,460.8
Negeri Sembilan,Pahang,444.4
Negeri Sembilan,Pulau Pinang,65.5
Negeri Sembilan,Perak,275.0
Negeri Sembilan,Perlis,18.7
Negeri Sembilan,Selangor,448.8
Negeri Sembilan,Terengganu,190.6
Negeri Sembilan,Sabah,78.9
Negeri Sembilan,Sarawak,87.1
Negeri Sembilan,W.P. Kuala Lumpur,442.7
Negeri Sembilan,W.P. Labuan,47.2
Negeri Sembilan,W.P. Putrajaya,63.3
Pahang,Malaysia,8438.6
Pahang,Johor,585.3
Pahang,Kedah,193.7
Pahang,Kelantan,655.1
Pahang,Melaka,305.1
Pahang,Negeri Sembilan,287.9
Pahang,Pahang,2599.8
Pahang,Pulau Pinang,241.7
Pahang,Perak,701.1
Pahang,Perlis,60.7
Pahang,Selangor,930.4
