state,component,receipts_rm_thousand_2023,receipts_rm_thousand_2024,share_pct_2023,share_pct_2024
Johor,expenditure_by_visitors,6087464.0,7025477.0,90.9,89.9
Johor,shopping,2112096.0,2530149.0,31.5,32.4
Johor,automotive_fuel,976142.0,1107583.0,14.6,14.2
Johor,transportation,532169.0,609000.0,7.9,7.8
Johor,food_and_beverage,1017258.0,1184686.0,15.2,15.2
Johor,accommodation,967492.0,1030010.0,14.4,13.2
Johor,pre_trip_package_entrance_tickets,250643.0,260313.0,3.7,3.3
Johor,other_activities,231663.0,303736.0,3.5,3.9
Johor,expenditure_by_visited_households,611655.0,788939.0,9.1,10.1
Johor,total_receipts,6699119.0,7814416.0,100.0,100.0
Kedah,expenditure_by_visitors,3826890.0,4456188.0,91.0,89.8
Kedah,shopping,1239688.0,1454556.0,29.5,29.3
Kedah,automotive_fuel,590600.0,656463.0,14.0,13.2
Kedah,transportation,414830.0,480051.0,9.9,9.7
Kedah,food_and_beverage,793909.0,960765.0,18.9,19.4
Kedah,accommodation,497519.0,531785.0,11.8,10.7
Kedah,pre_trip_package_entrance_tickets,164249.0,184690.0,3.9,3.7
Kedah,other_activities,126095.0,187877.0,3.0,3.8
Kedah,expenditure_by_visited_households,379729.0,504962.0,9.0,10.2
Kedah,total_receipts,4206619.0,4961150.0,100.0,100.0
Kelantan,expenditure_by_visitors,2789747.0,3955723.0,86.4,87.1
Kelantan,shopping,1003376.0,1392100.0,31.1,30.7
Kelantan,automotive_fuel,604358.0,760737.0,18.7,16.8
Kelantan,transportation,211088.0,322821.0,6.5,7.1
Kelantan,food_and_beverage,531883.0,803351.0,16.5,17.7
Kelantan,accommodation,316649.0,430561.0,9.8,9.5
Kelantan,pre_trip_package_entrance_tickets,23127.0,84729.0,0.7,1.9
Kelantan,other_activities,99266.0,161424.0,3.1,3.6
Kelantan,expenditure_by_visited_households,438638.0,584889.0,13.6,12.9
Kelantan,total_receipts,3228385.0,4540611.0,100.0,100.0
Melaka,expenditure_by_visitors,5875763.0,7257752.0,91.3,91.5
Melaka,shopping,2422343.0,2937453.0,37.6,37.0
Melaka,automotive_fuel,880013.0,1019902.0,13.7,12.9
Melaka,transportation,313382.0,410871.0,4.9,5.2
Melaka,food_and_beverage,1043776.0,1310169.0,16.2,16.5
Melaka,accommodation,691100.0,891618.0,10.7,11.2
Melaka,pre_trip_package_entrance_tickets,252793.0,337869.0,3.9,4.3
Melaka,other_activities,272357.0,349869.0,4.2,4.4
Melaka,expenditure_by_visited_households,562648.0,675455.0,8.7,8.5
Melaka,total_receipts,6438411.0,7933206.0,100.0,100.0
Negeri Sembilan,expenditure_by_visitors,4415922.0,5251834.0,92.4,89.5
Negeri Sembilan,shopping,1803079.0,1955548.0,37.7,33.3
