state,year,homestay_clusters,accommodation_premises,rooms
Malaysia,2022,208,5052,322700
Malaysia,2023,216,5204,333780
Malaysia,2024,231,5277,343866
Johor,2022,25,535,34294
Johor,2023,26,548,35208
Johor,2024,27,552,36043
Kedah,2022,15,312,17585
Kedah,2023,15,330,19029
Kedah,2024,12,328,18600
Kelantan,2022,8,158,6075
Kelantan,2023,8,169,6269
Kelantan,2024,8,170,6362
Melaka,2022,9,350,19343
Melaka,2023,9,355,19961
Melaka,2024,9,354,20159
Negeri Sembilan,2022,8,161,11129
Negeri Sembilan,2023,8,161,10643
Negeri Sembilan,2024,9,166,10856
Pahang,2022,16,500,34183
Pahang,2023,17,503,33387
Pahang,2024,17,501,34323
Pulau Pinang,2022,10,362,24704
Pulau Pinang,2023,10,364,25543
Pulau Pinang,2024,11,376,26692
Perak,2022,11,488,19976
Perak,2023,11,487,19763
Perak,2024,11,481,19299
Perlis,2022,3,41,1361
Perlis,2023,4,44,1444
Perlis,2024,4,44,1489
Selangor,2022,16,439,32241
Selangor,2023,16,444,32656
Selangor,2024,17,460,34883
Terengganu,2022,7,253,10993
Terengganu,2023,7,255,10927
Terengganu,2024,7,256,11190
Sabah,2022,31,479,25344
Sabah,2023,34,532,26706
Sabah,2024,39,540,27208
Sarawak,2022,46,495,25610
Sarawak,2023,48,503,26592
Sarawak,2024,57,522,27913
W.P. Kuala Lumpur,2022,,423,55641
W.P. Kuala Lumpur,2023,,448,60872
W.P. Kuala Lumpur,2024,,464,63973
W.P. Labuan,2022,3,47,2284
W.P. Labuan,2023,3,49,2272
W.P. Labuan,2024,3,50,2296
W.P. Putrajaya,2022,,9,1937
W.P. Putrajaya,2023,,12,2508
W.P. Putrajaya,2024,,13,2580
