state,breakdown,category,hotels,rooms
Johor,star_rating,5_star,9,2506
Johor,star_rating,4_star,23,7607
Johor,star_rating,3_star,47,7007
Johor,star_rating,2_star,35,2543
Johor,star_rating,1_star,22,1362
Johor,star_rating,3_orchid,25,1017
Johor,star_rating,2_orchid,15,432
Johor,star_rating,1_orchid,9,260
Johor,star_rating,unrated,303,9237
Johor,star_rating,total,488,31971
Johor,location,city_town,394,25700
Johor,location,beach,67,4452
Johor,location,hill,3,179
Johor,location,other_location,24,1640
Johor,location,total,488,31971
Kedah,star_rating,5_star,10,1814
Kedah,star_rating,4_star,12,2169
Kedah,star_rating,3_star,20,2882
Kedah,star_rating,2_star,21,1733
Kedah,star_rating,1_star,5,237
Kedah,star_rating,3_orchid,2,41
Kedah,star_rating,2_orchid,3,123
Kedah,star_rating,1_orchid,3,101
Kedah,star_rating,unrated,99,4054
Kedah,star_rating,total,175,13154
Kedah,location,city_town,91,7330
Kedah,location,beach,69,5023
Kedah,location,hill,5,264
Kedah,location,other_location,10,537
Kedah,location,total,175,13154
Kelantan,star_rating,5_star,1,298
Kelantan,star_rating,4_star,7,881
Kelantan,star_rating,3_star,11,720
Kelantan,star_rating,2_star,13,794
Kelantan,star_rating,1_star,7,225
Kelantan,star_rating,3_orchid,10,300
Kelantan,star_rating,2_orchid,6,143
Kelantan,star_rating,1_orchid,11,272
Kelantan,star_rating,unrated,25,727
Kelantan,star_rating,total,91,4360
Kelantan,location,city_town,74,3661
Kelantan,location,beach,16,679
Kelantan,location,hill,0,0
Kelantan,location,other_location,1,20
Kelantan,location,total,91,4360
Melaka,star_rating,5_star,11,3613
Melaka,star_rating,4_star,13,3497
Melaka,star_rating,3_star,36,4703
Melaka,star_rating,2_star,22,932
Melaka,star_rating,1_star,12,546
Melaka,star_rating,3_orchid,15,478
Melaka,star_rating,2_orchid,10,255
Melaka,star_rating,1_orchid,11,259
Melaka,star_rating,unrated,47,3985
Melaka,star_rating,total,177,18268
Melaka,location,city_town,145,15031
Melaka,location,beach,19,1334
Melaka,location,hill,0,0
Melaka,location,other_location,13,1903
Melaka,location,total,177,18268
Negeri Sembilan,star_rating,5_star,5,1879
Negeri Sembilan,star_rating,4_star,8,2217
Negeri Sembilan,star_rating,3_star,12,984
Negeri Sembilan,star_rating,2_star,14,900
Negeri Sembilan,star_rating,1_star,11,606
Negeri Sembilan,star_rating,3_orchid,10,350
Negeri Sembilan,star_rating,2_orchid,3,68
Negeri Sembilan,star_rating,1_orchid,8,211
Negeri Sembilan,star_rating,unrated,74,2392
Negeri Sembilan,star_rating,total,145,9607
Negeri Sembilan,location,city_town,107,5506
Negeri Sembilan,location,beach,27,3534
Negeri Sembilan,location,hill,0,0
Negeri Sembilan,location,other_location,11,567
Negeri Sembilan,location,total,145,9607
Pahang,star_rating,5_star,8,3014
Pahang,star_rating,4_star,17,4003
Pahang,star_rating,3_star,27,10137
Pahang,star_rating,2_star,19,1153
Pahang,star_rating,1_star,7,230
Pahang,star_rating,3_orchid,15,639
Pahang,star_rating,2_orchid,14,312
Pahang,star_rating,1_orchid,17,377
Pahang,star_rating,unrated,179,5759
Pahang,star_rating,total,303,25624
Pahang,location,city_town,136,6750
