state,table,field,pdf_parser_value,xlsx_published_value,compared_at_dp,agree
Johor,table_1,total_receipts_rm_million,6699.0,6699.11884569231,0,True
Johor,table_1,domestic_visitors_thousand,15805.0,15804.89,0,True
Johor,table_1,domestic_trips_thousand,16494.0,16493.661,0,True
Johor,table_1,avg_receipts_per_capita_rm,424.0,423.863680524971,0,True
Johor,table_1,avg_receipts_per_trip_rm,406.0,406.163243302521,0,True
Johor,table_1,avg_length_of_stay_nights,2.18,2.17607397828371,2,True
Johor,table_7,expenditure_by_visitors:receipts,6087464.0,6087463.90604678,0,True
Johor,table_7,expenditure_by_visitors:share,90.9,90.8696210093535,1,True
Johor,table_7,shopping:receipts,2112096.0,2112096.1504808,0,True
Johor,table_7,shopping:share,31.5,31.527969560339,1,True
Johor,table_7,automotive_fuel:receipts,976142.0,976142.473505885,0,True
Johor,table_7,automotive_fuel:share,14.6,14.5712069899098,1,True
Johor,table_7,transportation:receipts,532169.0,532169.095130181,0,True
Johor,table_7,transportation:share,7.9,7.94386705756651,1,True
Johor,table_7,food_and_beverage:receipts,1017258.0,1017258.17874921,0,True
Johor,table_7,food_and_beverage:share,15.2,15.1849549497593,1,True
Johor,table_7,accommodation:receipts,967492.0,967492.246183618,0,True
Johor,table_7,accommodation:share,14.4,14.4420821374999,1,True
Johor,table_7,pre_trip_package_entrance_tickets:receipts,250643.0,250642.859232764,0,True
Johor,table_7,pre_trip_package_entrance_tickets:share,3.7,3.74143025383008,1,True
Johor,table_7,other_activities:receipts,231663.0,231662.902764318,0,True
Johor,table_7,other_activities:share,3.5,3.45811006044896,1,True
Johor,table_7,expenditure_by_visited_households:receipts,611655.0,611654.939645529,0,True
Johor,table_7,expenditure_by_visited_households:share,9.1,9.13037899064648,1,True
Johor,table_7,total_receipts:receipts,6699119.0,6699118.8456923,0,True
Johor,table_7,total_receipts:share,100.0,100,1,True
Johor,table_13_income,"≤RM1,000",2.1,2.1,1,True
Johor,table_13_income,"RM1,001-3,000",20.9,20.9,1,True
Johor,table_13_income,"RM3,001-5,000",23.1,23.1,1,True
Johor,table_13_income,"RM5,001-10,000",37.2,37.2,1,True
Johor,table_13_income,"≥RM10,001",16.7,16.7,1,True
Johor,table_12_accom,relatives_friends_house,70.2,70.2,1,True
Johor,table_12_accom,hotel,16.8,16.8,1,True
Johor,table_12_accom,chalet,2.6,2.6,1,True
Johor,table_12_accom,apartment,2.4,2.4,1,True
Johor,table_12_accom,homestay_vacation_home,5.5,5.5,1,True
Johor,table_12_accom,rest_house,2.5,2.5,1,True
Kedah,table_1,total_receipts_rm_million,4207.0,4206.61948328264,0,True
Kedah,table_1,domestic_visitors_thousand,13444.0,13444.055,0,True
Kedah,table_1,domestic_trips_thousand,13687.0,13687.381,0,True
Kedah,table_1,avg_receipts_per_capita_rm,313.0,312.898116177198,0,True
Kedah,table_1,avg_receipts_per_trip_rm,307.0,307.335602280863,0,True
Kedah,table_1,avg_length_of_stay_nights,2.03,2.02721858973257,2,True
Kedah,table_7,expenditure_by_visitors:receipts,3826890.0,3826890.27698827,0,True
Kedah,table_7,expenditure_by_visitors:share,91.0,90.9730554949541,1,True
Kedah,table_7,shopping:receipts,1239688.0,1239687.80519443,0,True
Kedah,table_7,shopping:share,29.5,29.4699297172236,1,True
Kedah,table_7,automotive_fuel:receipts,590600.0,590600.113326828,0,True
Kedah,table_7,automotive_fuel:share,14.0,14.0397798202074,1,True
Kedah,table_7,transportation:receipts,414830.0,414829.660844075,0,True
Kedah,table_7,transportation:share,9.9,9.8613545268982,1,True
Kedah,table_7,food_and_beverage:receipts,793909.0,793908.901055623,0,True
Kedah,table_7,food_and_beverage:share,18.9,18.8728480008868,1,True
Kedah,table_7,accommodation:receipts,497519.0,497519.145804423,0,True
Kedah,table_7,accommodation:share,11.8,11.827053713358,1,True
Kedah,table_7,pre_trip_package_entrance_tickets:receipts,164249.0,164249.306156422,0,True
Kedah,table_7,pre_trip_package_entrance_tickets:share,3.9,3.90454394102339,1,True
Kedah,table_7,other_activities:receipts,126095.0,126095.344606474,0,True
Kedah,table_7,other_activities:share,3.0,2.99754577535678,1,True
Kedah,table_7,expenditure_by_visited_households:receipts,379729.0,379729.206294372,0,True
Kedah,table_7,expenditure_by_visited_households:share,9.0,9.02694450504587,1,True
Kedah,table_7,total_receipts:receipts,4206619.0,4206619.48328265,0,True
Kedah,table_7,total_receipts:share,100.0,100,1,True
Kedah,table_13_income,"≤RM1,000",5.5,5.5,1,True
Kedah,table_13_income,"RM1,001-3,000",28.8,28.8,1,True
Kedah,table_13_income,"RM3,001-5,000",28.5,28.5,1,True
Kedah,table_13_income,"RM5,001-10,000",26.6,26.6,1,True
Kedah,table_13_income,"≥RM10,001",10.6,10.6,1,True
Kedah,table_12_accom,relatives_friends_house,70.1,70.1,1,True
Kedah,table_12_accom,hotel,15.2,15.2,1,True
Kedah,table_12_accom,chalet,1.7,1.7,1,True
Kedah,table_12_accom,apartment,2.2,2.2,1,True
Kedah,table_12_accom,homestay_vacation_home,8.4,8.4,1,True
Kedah,table_12_accom,rest_house,2.4,2.4,1,True
Kelantan,table_1,total_receipts_rm_million,3228.0,3228.385093431,0,True
Kelantan,table_1,domestic_visitors_thousand,7549.0,7549.37,0,True
Kelantan,table_1,domestic_trips_thousand,9300.0,9299.793,0,True
Kelantan,table_1,avg_receipts_per_capita_rm,428.0,427.636358190286,0,True
Kelantan,table_1,avg_receipts_per_trip_rm,347.0,347.145908885391,0,True
Kelantan,table_1,avg_length_of_stay_nights,3.07,3.07348440786154,2,True
Kelantan,table_7,expenditure_by_visitors:receipts,2789747.0,2789747.45790799,0,True
Kelantan,table_7,expenditure_by_visitors:share,86.4,86.4130943853158,1,True
Kelantan,table_7,shopping:receipts,1003376.0,1003375.53048698,0,True
Kelantan,table_7,shopping:share,31.1,31.0797969092539,1,True
Kelantan,table_7,automotive_fuel:receipts,604358.0,604358.191997612,0,True
Kelantan,table_7,automotive_fuel:share,18.7,18.7201394662408,1,True
Kelantan,table_7,transportation:receipts,211088.0,211088.228827605,0,True
Kelantan,table_7,transportation:share,6.5,6.53850834762928,1,True
Kelantan,table_7,food_and_beverage:receipts,531883.0,531882.658089821,0,True
Kelantan,table_7,food_and_beverage:share,16.5,16.4751924784957,1,True
Kelantan,table_7,accommodation:receipts,316649.0,316649.27514187,0,True
Kelantan,table_7,accommodation:share,9.8,9.80828699110825,1,True
Kelantan,table_7,pre_trip_package_entrance_tickets:receipts,23127.0,23127.304706161,0,True
Kelantan,table_7,pre_trip_package_entrance_tickets:share,0.7,0.716373791751784,1,True
Kelantan,table_7,other_activities:receipts,99266.0,99266.2686579418,0,True
Kelantan,table_7,other_activities:share,3.1,3.07479640083599,1,True
Kelantan,table_7,expenditure_by_visited_households:receipts,438638.0,438637.635523004,0,True
Kelantan,table_7,expenditure_by_visited_households:share,13.6,13.5869056146842,1,True
Kelantan,table_7,total_receipts:receipts,3228385.0,3228385.09343099,0,True
Kelantan,table_7,total_receipts:share,100.0,100,1,True
Kelantan,table_13_income,"≤RM1,000",3.7,3.7,1,True
Kelantan,table_13_income,"RM1,001-3,000",36.5,36.5,1,True
Kelantan,table_13_income,"RM3,001-5,000",28.8,28.8,1,True
Kelantan,table_13_income,"RM5,001-10,000",24.4,24.4,1,True
Kelantan,table_13_income,"≥RM10,001",6.6,6.6,1,True
Kelantan,table_12_accom,relatives_friends_house,73.7,73.7,1,True
