state,coastal_length_km,cat1_sites,cat1_km,cat2_sites,cat2_km,cat3_sites,cat3_km,total_eroding_km,eroding_share_of_coast_pct
Johor,813.6,,,30.0,38.1,42.0,26.6,64.7,8.0
Kedah,639.8,4.0,1.9,28.0,13.6,90.0,11.3,26.8,4.2
Kelantan,179.5,2.0,2.0,2.0,2.5,43.0,15.3,19.8,11.0
Melaka,120.5,1.0,0.2,6.0,1.7,3.0,1.8,3.7,3.1
Pahang,378.4,2.0,1.5,14.0,16.9,58.0,43.4,61.8,16.3
Perak,397.5,1.0,0.3,21.0,33.6,105.0,61.2,95.1,23.9
Perlis,26.4,,,,,2.0,0.1,0.1,0.4
Pulau Pinang,215.6,7.0,4.7,13.0,5.0,31.0,6.6,16.3,7.6
Sabah,3752.9,3.0,3.0,63.0,79.1,1120.0,347.2,429.3,11.4
Sarawak,1234.1,7.0,18.6,78.0,144.8,566.0,329.1,492.5,39.9
Selangor,492.1,2.0,4.8,16.0,18.6,156.0,51.2,74.6,15.2
Terengganu,443.1,8.0,12.3,20.0,15.4,115.0,21.0,48.7,11.0
W.P. Labuan,81.5,1.0,0.6,9.0,2.5,11.0,1.3,4.4,5.4
Negeri Sembilan,65.0,6.0,5.5,9.0,4.1,2.0,0.2,9.8,15.1
