state,year,mangrove_hectares
Johor,2019,18198.0
Johor,2020,18198.0
Johor,2021,18367.0
Johor,2022,18076.0
Kedah,2019,6201.0
Kedah,2020,6201.0
Kedah,2021,6201.0
Kedah,2022,6714.0
Melaka,2019,136.0
Melaka,2020,136.0
Melaka,2021,238.0
Melaka,2022,238.0
Negeri Sembilan,2019,101.0
Negeri Sembilan,2020,101.0
Negeri Sembilan,2021,101.0
Negeri Sembilan,2022,99.0
Pahang,2019,2416.0
Pahang,2020,2412.0
Pahang,2021,2376.0
Pahang,2022,1822.0
Perak,2019,42216.0
Perak,2020,42216.0
Perak,2021,42212.0
Perak,2022,42411.0
Perlis,2019,13.0
Perlis,2020,14.0
Perlis,2021,14.0
Perlis,2022,13.0
Pulau Pinang,2019,381.0
Pulau Pinang,2020,381.0
Pulau Pinang,2021,381.0
Pulau Pinang,2022,1058.0
Selangor,2019,18998.0
Selangor,2020,18998.0
Selangor,2021,18998.0
Selangor,2022,18998.0
Terengganu,2019,1037.0
Terengganu,2020,1037.0
Terengganu,2021,1037.0
Terengganu,2022,1037.0
