state,year,landings_thousand_tonnes,share_of_malaysia_pct
Johor,2020,70.2,5.1
Johor,2021,51.4,3.9
Johor,2022,57.7,4.4
Johor,2023,49.8,3.9
Johor,2024,59.1,4.2
Kedah,2020,134.4,9.7
Kedah,2021,122.8,9.2
Kedah,2022,140.9,10.8
Kedah,2023,141.3,11.1
Kedah,2024,104.3,7.5
Kelantan,2020,73.6,5.3
Kelantan,2021,58.3,4.4
Kelantan,2022,55.1,4.2
Kelantan,2023,60.0,4.7
Kelantan,2024,58.1,4.2
Melaka,2020,1.8,0.1
Melaka,2021,2.1,0.2
Melaka,2022,2.0,0.2
Melaka,2023,2.0,0.2
Melaka,2024,2.1,0.1
Negeri Sembilan,2020,0.6,0.0
Negeri Sembilan,2021,0.6,0.0
Negeri Sembilan,2022,0.6,0.0
Negeri Sembilan,2023,0.5,0.0
Negeri Sembilan,2024,0.6,0.0
Pahang,2020,101.3,7.3
Pahang,2021,94.8,7.1
Pahang,2022,108.0,8.3
Pahang,2023,116.2,9.1
Pahang,2024,144.7,10.4
Pulau Pinang,2020,56.8,4.1
Pulau Pinang,2021,35.4,2.7
Pulau Pinang,2022,47.6,3.6
Pulau Pinang,2023,38.2,3.0
Pulau Pinang,2024,39.2,2.8
Perak,2020,328.3,23.7
Perak,2021,358.4,27.0
Perak,2022,301.4,23.0
Perak,2023,335.9,26.4
Perak,2024,434.3,31.2
Perlis,2020,69.4,5.0
Perlis,2021,33.1,2.5
Perlis,2022,38.0,2.9
Perlis,2023,34.1,2.7
Perlis,2024,28.1,2.0
Selangor,2020,161.0,11.6
Selangor,2021,167.6,12.6
Selangor,2022,171.1,13.1
Selangor,2023,120.6,9.5
Selangor,2024,163.7,11.8
Terengganu,2020,37.2,2.7
Terengganu,2021,30.6,2.3
Terengganu,2022,33.7,2.6
Terengganu,2023,45.7,3.6
Terengganu,2024,39.7,2.8
Sabah,2020,206.7,14.9
Sabah,2021,216.3,16.3
Sabah,2022,230.2,17.6
Sabah,2023,212.8,16.8
Sabah,2024,201.8,14.5
Sarawak,2020,124.5,9.0
Sarawak,2021,138.9,10.5
Sarawak,2022,103.8,7.9
Sarawak,2023,94.3,7.4
Sarawak,2024,96.1,6.9
W.P. Labuan,2020,17.5,1.3
W.P. Labuan,2021,17.7,1.3
W.P. Labuan,2022,18.4,1.4
W.P. Labuan,2023,18.8,1.5
W.P. Labuan,2024,20.3,1.5
