state,area,year,category,stations
Johor,coastal,2020,excellent,12.0
Johor,coastal,2020,good,7.0
Johor,coastal,2020,moderate,7.0
Johor,coastal,2020,poor,3.0
Johor,coastal,2021,excellent,17.0
Johor,coastal,2021,good,5.0
Johor,coastal,2021,moderate,7.0
Johor,coastal,2021,poor,
Johor,coastal,2022,excellent,14.0
Johor,coastal,2022,good,8.0
Johor,coastal,2022,moderate,7.0
Johor,coastal,2022,poor,
Johor,coastal,2023,excellent,19.0
Johor,coastal,2023,good,3.0
Johor,coastal,2023,moderate,7.0
Johor,coastal,2023,poor,
Johor,coastal,2024,excellent,20.0
Johor,coastal,2024,good,3.0
Johor,coastal,2024,moderate,6.0
Johor,coastal,2024,poor,
Kedah,coastal,2020,excellent,6.0
Kedah,coastal,2020,good,2.0
Kedah,coastal,2020,moderate,1.0
Kedah,coastal,2020,poor,
Kedah,coastal,2021,excellent,6.0
Kedah,coastal,2021,good,3.0
Kedah,coastal,2021,moderate,
Kedah,coastal,2021,poor,
Kedah,coastal,2022,excellent,6.0
Kedah,coastal,2022,good,3.0
Kedah,coastal,2022,moderate,
Kedah,coastal,2022,poor,
Kedah,coastal,2023,excellent,9.0
Kedah,coastal,2023,good,
Kedah,coastal,2023,moderate,
Kedah,coastal,2023,poor,
Kedah,coastal,2024,excellent,9.0
Kedah,coastal,2024,good,
Kedah,coastal,2024,moderate,
Kedah,coastal,2024,poor,
Kelantan,coastal,2020,excellent,1.0
Kelantan,coastal,2020,good,4.0
Kelantan,coastal,2020,moderate,1.0
Kelantan,coastal,2020,poor,
Kelantan,coastal,2021,excellent,6.0
Kelantan,coastal,2021,good,
Kelantan,coastal,2021,moderate,
Kelantan,coastal,2021,poor,
Kelantan,coastal,2022,excellent,6.0
Kelantan,coastal,2022,good,
Kelantan,coastal,2022,moderate,
Kelantan,coastal,2022,poor,
Kelantan,coastal,2023,excellent,6.0
Kelantan,coastal,2023,good,
Kelantan,coastal,2023,moderate,
Kelantan,coastal,2023,poor,
Kelantan,coastal,2024,excellent,6.0
Kelantan,coastal,2024,good,
Kelantan,coastal,2024,moderate,
Kelantan,coastal,2024,poor,
Melaka,coastal,2020,excellent,3.0
Melaka,coastal,2020,good,2.0
Melaka,coastal,2020,moderate,4.0
Melaka,coastal,2020,poor,
Melaka,coastal,2021,excellent,
Melaka,coastal,2021,good,5.0
Melaka,coastal,2021,moderate,4.0
Melaka,coastal,2021,poor,
Melaka,coastal,2022,excellent,1.0
Melaka,coastal,2022,good,6.0
Melaka,coastal,2022,moderate,2.0
Melaka,coastal,2022,poor,
Melaka,coastal,2023,excellent,4.0
Melaka,coastal,2023,good,3.0
Melaka,coastal,2023,moderate,2.0
Melaka,coastal,2023,poor,
Melaka,coastal,2024,excellent,4.0
Melaka,coastal,2024,good,3.0
Melaka,coastal,2024,moderate,2.0
Melaka,coastal,2024,poor,
Negeri Sembilan,coastal,2020,excellent,5.0
Negeri Sembilan,coastal,2020,good,7.0
Negeri Sembilan,coastal,2020,moderate,2.0
Negeri Sembilan,coastal,2020,poor,
Negeri Sembilan,coastal,2021,excellent,9.0
Negeri Sembilan,coastal,2021,good,3.0
Negeri Sembilan,coastal,2021,moderate,2.0
Negeri Sembilan,coastal,2021,poor,
Negeri Sembilan,coastal,2022,excellent,11.0
Negeri Sembilan,coastal,2022,good,3.0
Negeri Sembilan,coastal,2022,moderate,
Negeri Sembilan,coastal,2022,poor,
Negeri Sembilan,coastal,2023,excellent,12.0
Negeri Sembilan,coastal,2023,good,2.0
Negeri Sembilan,coastal,2023,moderate,
Negeri Sembilan,coastal,2023,poor,
