state,year,indicator,value,source,precision
Johor,2017,total_receipts_rm_million,6036.4303,DTS 2023 state XLSX (Table 1),exact
Johor,2018,total_receipts_rm_million,6726.4114,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Johor,2019,total_receipts_rm_million,7409.6779,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Johor,2020,total_receipts_rm_million,2431.6199,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Johor,2021,total_receipts_rm_million,1251.8493,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Johor,2022,total_receipts_rm_million,4888.3515,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Johor,2023,total_receipts_rm_million,6699.1188,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Johor,2024,total_receipts_rm_million,7814.0,DTS 2024 state PDF (Table 1),as printed
Johor,2017,domestic_visitors_thousand,13140.6397,DTS 2023 state XLSX (Table 1),exact
Johor,2018,domestic_visitors_thousand,13487.2379,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Johor,2019,domestic_visitors_thousand,14274.3643,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Johor,2020,domestic_visitors_thousand,7242.508,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Johor,2021,domestic_visitors_thousand,3657.55,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Johor,2022,domestic_visitors_thousand,12376.202,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Johor,2023,domestic_visitors_thousand,15804.89,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Johor,2024,domestic_visitors_thousand,17138.0,DTS 2024 state PDF (Table 1),as printed
Johor,2017,domestic_trips_thousand,18769.8524,DTS 2023 state XLSX (Table 1),exact
Johor,2018,domestic_trips_thousand,17645.832,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Johor,2019,domestic_trips_thousand,19135.5102,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Johor,2020,domestic_trips_thousand,7915.18,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Johor,2021,domestic_trips_thousand,3797.419,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Johor,2022,domestic_trips_thousand,12964.945,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Johor,2023,domestic_trips_thousand,16493.661,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Johor,2024,domestic_trips_thousand,19204.0,DTS 2024 state PDF (Table 1),as printed
Johor,2017,avg_receipts_per_capita_rm,459.3711,DTS 2023 state XLSX (Table 1),exact
