state,region_cluster,visitors_2023_millions,visitors_2024_millions,visitor_growth_pct,visitors_2025_millions,visitor_growth_2025_pct,receipts_2024_rm_million,trips_2024_millions,alos_nights,receipts_per_trip_rm,shopping_spend_rm_m,fnb_spend_rm_m,accommodation_spend_rm_m,income_bracket,hotels_total,rooms_total,rooms_beach,rooms_city_town,population_thousands,hh_income_median_rm,national_hh_income_median_rm,income_gap_pct,amenities_piped_water_pct,amenities_sanitation_pct,amenities_electricity_pct,visitors_per_capita_2024,visitors_per_room_2024,beach_room_share_pct
Johor,South,15.805,17.138,8.43,18.197,6.18,7814.0,19.204,2.55,407.0,2530.1,1184.7,1030.0,"RM5,001-10,000",488,31971,4452,25700,4184.4,7712.0,7017.0,-9.9,99.78,100.0,100.0,4.1,536.0,13.93
Kedah,North,13.444,14.651,8.98,15.608,6.53,4961.0,15.984,2.77,310.0,1454.6,960.8,531.8,"RM1,001-3,000",175,13154,5023,7330,2217.1,4895.0,7017.0,30.24,99.65,100.0,100.0,6.61,1114.0,38.19
Kelantan,East Coast,7.549,10.514,39.28,12.062,14.72,4541.0,12.464,2.98,364.0,1392.1,803.4,430.6,"RM1,001-3,000",91,4360,679,3661,1887.9,4083.0,7017.0,41.81,72.25,100.0,100.0,5.57,2411.0,15.57
Melaka,South,15.559,19.128,22.94,20.832,8.91,7933.0,24.174,2.13,328.0,2937.5,1310.2,891.6,"RM5,001-10,000",177,18268,1334,15031,1046.7,6891.0,7017.0,1.8,100.0,100.0,100.0,18.27,1047.0,7.3
Negeri Sembilan,Central,14.959,17.785,18.89,19.357,8.84,5869.0,21.817,2.25,269.0,1955.5,1008.2,539.4,"RM5,001-10,000",145,9607,3534,5506,1239.5,5591.0,7017.0,20.32,99.86,100.0,100.0,14.35,1851.0,36.79
Pahang,East Coast,16.456,20.174,22.59,23.161,14.81,8710.0,22.665,2.17,384.0,2610.3,1280.7,1202.6,"RM5,001-10,000",303,25624,4537,6750,1667.7,4975.0,7017.0,29.1,98.56,99.9,100.0,12.1,787.0,17.71
Perak,North,17.108,21.776,27.29,23.642,8.57,7224.0,23.904,2.35,302.0,1993.0,1498.8,757.9,"RM5,001-10,000",330,16429,3053,11484,2569.4,4687.0,7017.0,33.21,99.36,100.0,100.0,8.48,1325.0,18.58
Perlis,North,1.951,3.225,65.3,3.756,16.47,1003.0,3.66,2.49,274.0,288.9,192.0,98.8,"RM1,001-3,000",32,1285,150,967,296.8,4950.0,7017.0,29.46,100.0,100.0,100.0,10.87,2510.0,11.67
Pulau Pinang,North,13.128,16.605,26.49,17.718,6.7,7424.0,19.16,2.58,387.0,3025.9,1227.2,961.9,"RM5,001-10,000",250,25389,4424,20514,1800.5,7386.0,7017.0,-5.26,100.0,100.0,100.0,9.22,654.0,17.42
Sabah,East Malaysia,16.08,20.592,28.06,22.361,8.59,8634.0,24.106,3.01,358.0,3176.5,1287.6,1034.4,"RM3,001-5,000",424,24329,2852,19522,3742.0,4890.0,7017.0,30.31,88.42,99.02,97.64,5.5,846.0,11.72
Sarawak,East Malaysia,17.901,19.626,9.64,22.722,15.77,7957.0,23.362,3.09,341.0,3208.5,1124.3,823.1,"RM5,001-10,000",387,21194,967,19474,2517.5,5504.0,7017.0,21.56,92.68,99.99,74.24,7.8,926.0,4.56
Selangor,Central,27.579,34.461,24.95,36.376,5.56,14226.0,37.023,2.24,384.0,6091.7,2224.2,1369.2,"RM5,001-10,000",210,26089,803,24816,7362.7,10726.0,7017.0,-52.86,100.0,100.0,100.0,4.68,1321.0,3.08
Terengganu,East Coast,11.761,14.461,22.96,15.462,6.92,5170.0,16.499,2.5,313.0,2033.8,947.4,437.1,"RM1,001-3,000",250,11487,6422,4053,1231.5,6627.0,7017.0,5.56,99.86,100.0,100.0,11.74,1259.0,55.91
W.P. Kuala Lumpur,Central,22.233,26.983,21.36,35.06,29.93,14078.0,30.64,2.23,459.0,6778.9,2070.4,1703.0,"RM5,001-10,000",254,47525,0,47525,2067.5,10802.0,7017.0,-53.94,100.0,100.0,100.0,13.05,568.0,0.0
W.P. Labuan,East Malaysia,0.331,0.45,35.95,0.604,34.22,265.0,0.482,2.84,549.0,93.9,43.5,38.4,"RM5,001-10,000",41,1697,215,1448,100.8,7383.0,7017.0,-5.22,100.0,100.0,100.0,4.46,265.0,12.67
W.P. Putrajaya,Central,1.9,2.557,34.58,3.146,23.03,937.0,2.711,2.14,346.0,339.2,179.4,64.6,"RM5,001-10,000",7,1769,0,1242,120.3,10769.0,7017.0,-53.47,100.0,100.0,100.0,21.26,1445.0,0.0
